installment_date,principal_amount,principal_amount_dup1,accrued_and_unpaid_interest1,accrued_and_unpaid_interest1_dup1,total,total_dup1
,111111.0,111111.0,19726.0,19726.0,130837.0,130837.0
,111111.0,111111.0,6040.0,6040.0,117151.0,117151.0
,111111.0,111111.0,5114.0,5114.0,116225.0,116225.0
,111111.0,111111.0,4530.0,4530.0,115641.0,115641.0
,111111.0,111111.0,3775.0,3775.0,114886.0,114886.0
,111111.0,111111.0,2922.0,2922.0,114033.0,114033.0
,111111.0,111111.0,2265.0,2265.0,113376.0,113376.0
,111111.0,111111.0,1461.0,1461.0,112572.0,112572.0
,111112.0,111112.0,755.0,755.0,111867.0,111867.0
,1000000.0,1000000.0,46588.0,46588.0,1046588.0,1046588.0
