item_12_security_ownership_of_certain_beneficial_owners_and_management_and_related_stockholder_matters,item_12_security_ownership_of_certain_beneficial_owners_and_management_and_related_stockholder_matters_dup1,item_12_security_ownership_of_certain_beneficial_owners_and_management_and_related_stockholder_matters_dup2,none,none_dup1,none_dup2,none_dup3
,"Shares of  
  Class A  
  Common  
  Stock","Shares of  
  Class A  
  Common  
  Stock","Shares of  
  Class B  
  Common  
  Stock","Shares of  
  Class B  
  Common  
  Stock","% of Total  
  Voting  
  Power","% of Total  
  Voting  
  Power"
,,,,,,
,,30308000,,—,,64.28%
,,7892000,,—,,16.74%
,,—,,1400000,,*
,,—,,60000,,*
,,—,,22000,,*
,,—,,22000,,*
,,—,,22000,,*
,,38200000,,1526000,,81.35%
