patents,patents_dup1,patents_dup2,none,none_dup1
APPLICATION NUMBER,TITLE,COUNTRY,FILING DATE,STATUS
17549815,TRAY STABILIZER SYSTEM FOR FOOD DELIVERY ROBOTS,U.S.,"December 13, 2021",Published
29790385,SERVICE ROBOT,U.S.,"November 24, 2021",Published
29790387,CLEANING ROBOT,U.S.,"November 24, 2021",Pending
17817639,AUTONOMOUS CLEANING ROBOT SYSTEM AND METHOD,U.S.,"August 4, 2022",Published
29846011,VENDING MACHINE ASSEMBLY FOR AN AUTONOMOUS DELIVERY ROBOT,U.S.,"July 12, 2022",Pending
29791849,CLEANING ROBOT,U.S.,"February 12, 2022",Pending
29836627,DEBRIS GATHERING BRUSH ASSEMBLY FOR A CLEANING ROBOT,U.S.,"April 28, 2022",Pending
29908343,SINGLE ARM ROBOT,U.S.,"January 11, 2024",Pending
29924731,POWDER MIXER,U.S.,"January 19, 2024",Pending
29924728,MIXER,U.S.,"January 19, 2024",Pending
29948962,Gripper For A Robotic Arm,U.S.,"June 24, 2024",Pending
29948968,Gripper For A Robotic Arm,U.S.,"June 24, 2024",Pending
