consolidated_statements_of_operations,consolidated_statements_of_operations_dup1,consolidated_statements_of_operations_dup2,consolidated_statements_of_operations_dup3,consolidated_statements_of_operations_dup4,column_6,column_7,column_10,column_11,column_12,column_13,column_14,column_15
,,,,,,,,,,,,
,2025.0,2025.0,,,2024.0,2024.0,2025.0,2025.0,,,2024.0,2024.0
"Revenue, net",3601.0,3601.0,,,,3715.0,1177.0,1177.0,,,,1443.0
"Cost of revenue, net",,878.0,,,,1411.0,,301.0,,,,429.0
Gross profit,,2723.0,,,,2304.0,,876.0,,,,1014.0
Operating expenses:,,,,,,,,,,,,
Research and development,,1337.0,,,,1633.0,,533.0,,,,386.0
Sales and marketing,,903.0,,,,1024.0,,288.0,,,,237.0
General and administrative,,13827.0,,,,3750.0,,4562.0,,,,1286.0
Total operating expenses,,16067.0,,,,6407.0,,5383.0,,,,1909.0
Loss from operations,,-13344.0,,,,-4103.0,,-4507.0,,,,-895.0
Non-operating income (expense):,,,,,,,,,,,,
Investment income,,1143.0,,,,,,423.0,,,,
"Interest expense, net",,-28.0,,,,-761.0,,-19.0,,,,-101.0
Total other expense,,1115.0,,,,-761.0,,404.0,,,,-101.0
Loss before income tax expense,,-12229.0,,,,-4864.0,,-4103.0,,,,-996.0
Income tax benefit/(expense),,-9.0,,,,-317.0,,,,,,-317.0
Consolidated net loss,,-12238.0,,,,-5181.0,,-4103.0,,,,-1313.0
Less: net loss attributable to non-controlling interest,,-78.0,,,,,,-40.0,,,,
Net loss attributable to the Company,,-12160.0,,,,-5181.0,,-4063.0,,,,-1313.0
Net loss attributable to common stockholders,-12160.0,-12160.0,,,,-5181.0,-4063.0,-4063.0,,,,-1313.0
Basic and diluted net loss per share of common stock,-0.11,-0.11,,,,-0.07,-0.04,-0.04,,,,-0.02
