revenue,revenue_dup1,revenue_dup2,revenue_dup3,revenue_dup4,none,none_dup1,none_dup2,none_dup3,none_dup4,none_dup5,none_dup6,none_dup7,none_dup8,none_dup9,none_dup10,none_dup11
,,,,,,,,,,,,,,,,
,2025.0,2025.0,,,2024.0,2024.0,Change,Change,2025.0,2025.0,,,2024.0,2024.0,Change,Change
Robotics,,,,,,,,,,,,,,,,
Product revenue,1567.0,1567.0,,,1252.0,1252.0,315,315,153.0,153.0,,,582.0,582.0,-429,-429
Service/rental revenue,,1151.0,,,,1510.0,,-359,,718.0,,,,611.0,,107
Leasing revenue,,380.0,,,,604.0,,-224,,135.0,,,,115.0,,20
Total robotics revenue,,3098.0,,,,3366.0,,-268,,1006.0,,,1308.0,1308.0,,-302
Smart hardware/interactive system,,6.0,,,,117.0,,-111,,,,,,61.0,,-61
Cloutea*,,,,,,232.0,,-232,,,,,,74.0,,-74
Alphamax*,,497.0,,,,,,497,,171.0,,,,0.0,,171
Total,3601.0,3601.0,,,3715.0,3715.0,-114,-114,1177.0,1177.0,,,1443.0,1443.0,-266,-266
