consolidated_statements_of_equity,consolidated_statements_of_equity_dup1,consolidated_statements_of_equity_dup2,consolidated_statements_of_equity_dup3,consolidated_statements_of_equity_dup4,consolidated_statements_of_equity_dup5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39934846.0,,,4.0,4.0,,,,74868935.0,,,7.0,7.0,,,71913.0,71913.0,,,-16036.0,-16036.0,,,-38.0,-38.0,,,55850.0,55850.0
,,,,,,,,,,,181282.0,,,,0.0,,,,2591.0,,,,,,,,,,,,2591.0
,,,,,,,,,,,23682395.0,,,,2.0,,,,48646.0,,,,,,,,,,,,48648.0
,,,,,,,,,,,,,,,,,,,2924.0,,,,,,,,,,,,2924.0
,,,,,,,,,,,10027.0,,,,1.0,,,,,,,,,,,,,,,,1.0
,,,,,,,,,,,-10027.0,,,,0.0,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,-40.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,-4063.0,,,,,,,,-4063.0
,,,39934846.0,,,4.0,4.0,,,,98732612.0,,,10.0,10.0,,,126114.0,126114.0,,,-20099.0,-20099.0,,,-78.0,-78.0,,,105951.0,105951.0
